COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
1 - ADRAR,338240000.00,3
100 - ALGER,49023510.00,18
1000 - ARZEW ORAN,21168240.00,5
1001 - BEN FREHA,9240000.00,4
1002 - BETHIOUA,51954000.00,6
1003 - BIR EL DJIR,1375842820.00,465
1004 - BOUFATIS,5800000.00,2
1005 - BOUSFER,34937940.00,9
1006 - BOUTLELIS,54328990.00,12
1007 - EL ANCOR ORAN,5713500.00,2
1008 - EL ANCOR ORAN,7215900.00,2
1009 - EL BRAYA,1000000.00,1
101 - BAB EL OUED,125373980.00,34
1010 - EL KARMA,8548900.00,4
1011 - ES SENIA,337245010.00,69
1012 - GDYEL,56532940.00,17
1013 - HASSI BEN OKBA,7592900.00,6
1014 - HASSI BOUNIF,67802880.00,39
1016 - MARSAT EL HADJADJ,5910500.00,3
1018 - MISSERGHIN,2325000.00,1
1019 - ORAN,11827263981.01,948
102 - BABA HASSEN,1560198640.00,252
1020 - OUED TLELAT,12958210.00,7
1022 - SIDI CHAMI,95416494.00,30
1028 - EL BORMA,1000000.00,1
103 - BACH DJERRAH,251968294.50,92
1031 - HASSI MESSAOUD,64369760.00,23
1036 - OUARGLA,4920000.00,2
104 - BAINS ROMAINS,71550000.00,11
1043 - TOUGGOURT,2000000.00,1
1049 - AIN KERCHA,8345800.00,6
105 - BARAKI,4089590422.32,325
1050 - AIN MLILA,231734740.00,120
1054 - BIR CHOUHADA,2855100.00,1
1055 - DHALAA,8742000.00,1
106 - BEB EZZOUAR,3746084075.28,222
1063 - HANCHIR TOUMGHANI,992000.00,1
1067 - OULED GACEM,1000000.00,1
1068 - OULED HAMLA,22500000.00,9
107 - BEN AKNOUN,123894820.00,32
1070 - OUM EL BOUAGHI,5495680.00,2
1072 - SIGUS,11525000.00,4
1073 - SOUK NAAMANE,9632510.00,6
1078 - BEN DAOUD,6510000.00,2
108 - BENI MESSOUS,185691980.00,29
109 - BIR KHADEM,1764544954.01,388
1099 - OUED RHIOU,31000000.00,1
110 - BIR MOURAD RAIS,712173170.00,149
1103 - RELIZANE,13308270.00,7
1104 - SIDI KHETTAB,373521464.65,1
111 - BIRTOUTA,2238261449.00,309
112 - BOLOGHINE IBN ZIRI,18825240.00,8
1122 - SAIDA,403000.00,1
1123 - SIDI AHMED,9797150.00,3
1124 - SIDI AMAR SAIDA,2072000.00,1
1128 - AIN ABESSA,28977000.00,6
1129 - AIN ARNAT,17838000.00,11
113 - BORDJ EL BAHRI,431422412.50,77
1130 - AIN AZAL,8350440.00,4
1131 - AIN EL KEBIRA,53787300.00,29
1132 - AIN LAGRADJ,18000000.00,9
1133 - AIN LAHDJAR,23280000.00,9
1134 - AIN OULMANE,1000000.00,1
1135 - AIN ROUA,4326050.00,5
1136 - AIN SEBT,10776000.00,8
1138 - AMOUCHA,2502500.00,1
1139 - BABOR,10225640.00,8
114 - BORDJ EL KIFFAN,1166779641.89,240
1140 - BAZER SAKRA,710583060.00,118
1141 - BEIDHA BORDJ,6096650.00,4
1142 - BELLAA,47936100.00,13
1143 - BENI AZIZ,127985900.00,61
1144 - BENI CHEBANA,6000000.00,3
1145 - BENI FOUDA,55661290.00,20
1147 - BENI MOUHLI,6500000.00,3
1148 - BENI OUARTILANE,111815000.00,46
1149 - BIR EL ARCH,354636560.00,84
115 - BOUROUBA,297377220.00,114
1151 - BOUANDAS,2636900.00,1
1152 - BOUGAA,1750000.00,1
1153 - BOUSSELAM,2000000.00,1
1155 - DEHAMCHA,3370500.00,3
1156 - DJEMILA,69524800.00,30
1157 - DRAA KEBILA,2000000.00,1
1158 - EL EULMA,7126104888.00,2136
1159 - EL OUELDJA SETIF,63996220.00,14
116 - BOUZAREAH,520906290.00,93
1160 - EL OURICIA,2975000.00,2
1161 - GUELLAL,2100000.00,1
1162 - GUELTA ZERGA,353377450.00,74
1164 - GUIDJEL,97151140.00,13
1167 - HAMMAM SKHOUNA,194332920.00,71
117 - CASBAH,43518980.00,11
1170 - MAAOUIA,19575500.00,7
1172 - MEZLOUG,27697320.00,11
1176 - OULED SABOR,35235400.00,10
118 - CHERAGA ALGER,2664477777.00,583
1182 - SETIF,12197227717.45,1078
1183 - TACHOUDA,27721000.00,8
1185 - TAYA,69164700.00,24
1186 - TELLA,21359500.00,8
1187 - TIZI NBECHAR,4900000.00,2
1189 - AIN EL BERD,1000000.00,1
119 - DAR EL BEIDA,2305699970.00,380
12 - METARFA,1000000.00,1
120 - DELY BRAHIM,1302615100.00,173
1206 - LAMTAR,22000000.00,1
121 - DJISR KSENTINA,299226460.00,89
1217 - RAS EL MA,2028950.00,1
122 - DOUERA,1356957146.25,209
1223 - SIDI BEL ABBES,200915550.00,81
1224 - SIDI BRAHIM,1943080.00,1
1229 - SIDI LAHCENE,7440000.00,1
123 - DRARIA,661381631.28,117
1235 - TELAGH,7471000.00,1
1237 - TESSALA,44910544.36,7
124 - EL ACHOUR,899351903.60,101
1240 - AIN BOUZIANE,27101150.00,10
1247 - AZZABA,229500000.00,5
1249 - BEN AZZOUZ,25945000.00,9
125 - EL BIAR,2194067670.00,110
1250 - BENI BACHIR,13278200.00,6
1251 - BENI OULBANE,21691840.00,14
1255 - CHERAIA,7035000.00,1
1256 - COLLO,1225000.00,1
1258 - EL GHEDIR,980000.00,1
1259 - EL HADAIEK,11806100.00,4
126 - EL HARRACH,818805760.00,185
1260 - EL HARROUCH,225334220.00,121
1262 - EMDJEZ EDCHICH,35529480.00,31
1264 - FIL FILA,17760000.00,6
1265 - HAMADI KROUMA,57375000.00,15
1267 - KERKERA,17100000.00,6
127 - EL MADANIA,65958290.00,18
1272 - OULED HEBABA,5433310.00,3
1273 - OUM TOUB,75373550.00,9
1274 - RAMDANE DJAMEL,13190890.00,7
1275 - SALAH BOUCHAOUR,35576480.00,23
1276 - SIDI MEZGHICHE,112213430.00,74
1277 - SKIKDA,321190174.46,104
1278 - TAMALOUS SKIKDA,1000000.00,1
128 - EL MAGHARIA,56013400.00,4
1280 - ZERDEZAS,3325000.00,2
129 - EL MARSA ALGER,21344000.00,3
1290 - MDAOUROUCHE,992000.00,2
1292 - MERAHNA,2439640.00,1
1293 - OUED KEBERIT,1989680.00,1
130 - EL MOURADIA,658898330.00,120
1300 - SEDRATA,2077880.00,1
1303 - TAOURA,6758000.00,2
1308 - ABALESSA,32220000.00,3
1313 - IN GUEZZAM,169100000.00,27
1315 - TAMANRASSET,3451527140.00,757
1317 - TIN ZAOUATINE,24920000.00,5
1318 - AIN ZERGA,52070000.00,15
132 - HARAOUA,188043180.00,56
1320 - BEKKARIA,4000000.00,2
1322 - BIR EL ATER,88059750.00,60
1324 - BOUKHADRA,930000.00,1
1325 - BOULHAF DYR,2000000.00,2
1327 - EL AOUINET TEBESSA,19771400.00,9
1328 - EL HOUIDJBET,1000000.00,1
1329 - EL KOUIF,2000000.00,2
133 - HUSSEIN DEY,338268765.00,59
1332 - EL MERIDJ,3994230.00,3
1333 - EL OGLA TEBESSA,4464000.00,1
1335 - EL OUENZA,349491310.00,156
1336 - FERKANE,3984000.00,3
1338 - HAMMAMET,13276350.00,6
134 - HYDRA,1053872430.00,132
1340 - NEGRINE,4240000.00,4
1344 - TEBESSA,3476574079.23,106
1346 - AIN BOUCHEKIF,5569200.00,4
135 - KHRAISSIA,942415960.00,150
1353 - DAHMOUNI,7100000.00,4
1357 - FRENDA,4635000.00,2
1359 - HAMADIA,9584000.00,7
136 - KOUBA,2276686613.50,415
1366 - MEGHILA,2000000.00,1
1367 - MELLAKOU,10393000.00,2
137 - LES EUCALYPTUS,1339393850.00,415
1370 - OUED LILLI,4712000.00,2
1371 - RAHOUIA,17391740.00,2
1373 - SEBAINE,2000000.00,1
138 - MAHELMA,427197696.89,96
1381 - SOUGUEUR,4588000.00,2
1384 - TIARET,1622013364.50,332
139 - MOHAMMADIA ALGER,963491170.00,257
1391 - AHMER EL AIN,84246730.00,32
1392 - AIN TAGOURAIT,58966100.00,14
1394 - BOU ISMAIL,534706460.00,103
1395 - BOUHAROUN,37398400.00,16
1396 - BOURKIKA,128037020.00,46
1397 - CHAIBA,23635000.00,3
1398 - CHERCHEL,114000820.00,27
1399 - DAMOUS,60828000.00,18
140 - OUED KORICHE,20437100.00,7
1400 - DOUAOUDA,130193380.00,38
1401 - FOUKA,66757620.00,20
1402 - GOURAYA,70251000.00,22
1403 - HADJERET ENNOUS,11327000.00,2
1404 - HADJOUT,1120968780.00,482
1405 - HATTATBA,3196000.00,2
1406 - KHEMISTI TIPAZA,26598560.00,9
1407 - KOLEA,176321760.00,43
1408 - LARHAT,59395000.00,16
1409 - MENACEUR,58955560.00,22
141 - OUED SMAR,778639290.00,40
1410 - MESSELMOUN,16109700.00,6
1411 - MEURAD,160030350.00,66
1412 - NADOR,62044990.00,25
1413 - SIDI AMAR TIPAZA,21244830.00,16
1414 - SIDI GHILES,52784440.00,13
1415 - SIDI RACHED,65239280.00,27
1417 - TIPAZA,1139782090.00,346
142 - OULED CHEBEL,480902000.00,53
1426 - LARDJEM,3100000.00,1
1427 - LAYOUNE,105860518.75,2
143 - OULED FAYET,1186074867.00,218
1438 - TISSEMSILT,61388769.80,4
144 - RAHMANIA,76288070.00,17
1441 - AGHNI GOUGHRAN,55884650.00,9
1442 - AGHRIB,52437260.00,19
1443 - AIN EL HAMMAM,20713220.00,6
1444 - AIN ZAOUIA,117733030.00,40
1445 - AIT AGGOUACHA,2100000.00,1
1446 - AIT AISSA MIMOUN,390329700.00,119
1447 - AIT BOUADOU,68475750.00,19
1449 - AIT CHAFFAA,9430000.00,5
145 - RAIS HAMIDOU,47420000.00,6
1450 - AIT KHELILI,5032000.00,2
1451 - AIT MAHMOUD,4060000.00,2
1453 - AIT TOUDERT,2275000.00,1
